,sentence,sentence_opposite,DP,DP_opposite,D,D_opposite,A,A_opposite,N,N_opposite,ADV,ADV_opposite,V,V_opposite,other_args,other_args_opposite,label,pairID,slen
993,This employed boy sometimes fights the waiter nowadays.,These employed boys sometimes fight the waiter nowadays.,This boy,These boys,This,These,employed,employed,boy,boys,sometimes,sometimes,fights,fight,"['the', 'waiter']","['the', 'waiter']",0,993,8
996,These happy guests barely ascend the ladder nowadays.,This happy guest barely ascends the ladder nowadays.,These guests,This guest,These,This,happy,happy,guests,guest,barely,barely,ascend,ascends,"['the', 'ladder']","['the', 'ladder']",1,996,8
997,These big senators hardly choose the carriage nowadays.,This big senator hardly chooses the carriage nowadays.,These senators,This senator,These,This,big,big,senators,senator,hardly,hardly,choose,chooses,"['the', 'carriage']","['the', 'carriage']",1,997,8
998,Those employed guests ever catch the driver nowadays.,That employed guest ever catches the driver nowadays.,Those guests,That guest,Those,That,employed,employed,guests,guest,ever,ever,catch,catches,"['the', 'driver']","['the', 'driver']",1,998,8
999,These white boxes ever confuse the banks nowadays.,This white box ever confuses the banks nowadays.,These boxes,This box,These,This,white,white,boxes,box,ever,ever,confuse,confuses,"['the', 'banks']","['the', 'banks']",1,999,8
1000,Those warm tutors often hold the girls nowadays.,That warm tutor often holds the girls nowadays.,Those tutors,That tutor,Those,That,warm,warm,tutors,tutor,often,often,hold,holds,"['the', 'girls']","['the', 'girls']",1,1000,8
1001,Those inexpensive banks seldom aid the men nowadays.,That inexpensive bank seldom aids the men nowadays.,Those banks,That bank,Those,That,inexpensive,inexpensive,banks,bank,seldom,seldom,aid,aids,"['the', 'men']","['the', 'men']",1,1001,8
1002,These hopeful senators sometimes fire the electrician nowadays.,This hopeful senator sometimes fires the electrician nowadays.,These senators,This senator,These,This,hopeful,hopeful,senators,senator,sometimes,sometimes,fire,fires,"['the', 'electrician']","['the', 'electrician']",1,1002,8
1003,This important student seldom cleans the gate nowadays.,These important students seldom clean the gate nowadays.,This student,These students,This,These,important,important,student,students,seldom,seldom,cleans,clean,"['the', 'gate']","['the', 'gate']",0,1003,8
1004,This clever pedestrian sometimes visits the associates nowadays.,These clever pedestrians sometimes visit the associates nowadays.,This pedestrian,These pedestrians,This,These,clever,clever,pedestrian,pedestrians,sometimes,sometimes,visits,visit,"['the', 'associates']","['the', 'associates']",0,1004,8
1005,This delighted boy seldom fights the companies nowadays.,These delighted boys seldom fight the companies nowadays.,This boy,These boys,This,These,delighted,delighted,boy,boys,seldom,seldom,fights,fight,"['the', 'companies']","['the', 'companies']",0,1005,8
1008,That busy plumber seldom explores the school nowadays.,Those busy plumbers seldom explore the school nowadays.,That plumber,Those plumbers,That,Those,busy,busy,plumber,plumbers,seldom,seldom,explores,explore,"['the', 'school']","['the', 'school']",0,1008,8
1009,These big slopes sometimes annoy the actor nowadays.,This big slope sometimes annoys the actor nowadays.,These slopes,This slope,These,This,big,big,slopes,slope,sometimes,sometimes,annoy,annoys,"['the', 'actor']","['the', 'actor']",1,1009,8
1010,These organized doctors always scan the books nowadays.,This organized doctor always scans the books nowadays.,These doctors,This doctor,These,This,organized,organized,doctors,doctor,always,always,scan,scans,"['the', 'books']","['the', 'books']",1,1010,8
1011,That interesting teenager rarely has the painting nowadays.,Those interesting teenagers rarely have the painting nowadays.,That teenager,Those teenagers,That,Those,interesting,interesting,teenager,teenagers,rarely,rarely,has,have,"['the', 'painting']","['the', 'painting']",0,1011,8
1014,This employed student sometimes sweeps the kitchens nowadays.,These employed students sometimes sweep the kitchens nowadays.,This student,These students,This,These,employed,employed,student,students,sometimes,sometimes,sweeps,sweep,"['the', 'kitchens']","['the', 'kitchens']",0,1014,8
1015,These valuable dogs rarely bother the university nowadays.,This valuable dog rarely bothers the university nowadays.,These dogs,This dog,These,This,valuable,valuable,dogs,dog,rarely,rarely,bother,bothers,"['the', 'university']","['the', 'university']",1,1015,8
1016,Those sick guests barely get the cups nowadays.,That sick guest barely gets the cups nowadays.,Those guests,That guest,Those,That,sick,sick,guests,guest,barely,barely,get,gets,"['the', 'cups']","['the', 'cups']",1,1016,8
1018,This boring guest always writes the report nowadays.,These boring guests always write the report nowadays.,This guest,These guests,This,These,boring,boring,guest,guests,always,always,writes,write,"['the', 'report']","['the', 'report']",0,1018,8
1019,These employed customers always breed the snakes nowadays.,This employed customer always breeds the snakes nowadays.,These customers,This customer,These,This,employed,employed,customers,customer,always,always,breed,breeds,"['the', 'snakes']","['the', 'snakes']",1,1019,8
1020,This old cafe seldom disgusts the dancers nowadays.,These old cafes seldom disgust the dancers nowadays.,This cafe,These cafes,This,These,old,old,cafe,cafes,seldom,seldom,disgusts,disgust,"['the', 'dancers']","['the', 'dancers']",0,1020,8
1021,This false museum rarely remembers the adults nowadays.,These false museums rarely remember the adults nowadays.,This museum,These museums,This,These,false,false,museum,museums,rarely,rarely,remembers,remember,"['the', 'adults']","['the', 'adults']",0,1021,8
1022,Those exposed tiles ever embarrass the teenagers nowadays.,That exposed tile ever embarrasses the teenagers nowadays.,Those tiles,That tile,Those,That,exposed,exposed,tiles,tile,ever,ever,embarrass,embarrasses,"['the', 'teenagers']","['the', 'teenagers']",1,1022,8
1023,That smart waiter often dislikes the tiles nowadays.,Those smart waiters often dislike the tiles nowadays.,That waiter,Those waiters,That,Those,smart,smart,waiter,waiters,often,often,dislikes,dislike,"['the', 'tiles']","['the', 'tiles']",0,1023,8
1024,That false hairdresser ever has the gloves nowadays.,Those false hairdressers ever have the gloves nowadays.,That hairdresser,Those hairdressers,That,Those,false,false,hairdresser,hairdressers,ever,ever,has,have,"['the', 'gloves']","['the', 'gloves']",0,1024,8
1025,This unsure doctor scarcely catches the girls nowadays.,These unsure doctors scarcely catch the girls nowadays.,This doctor,These doctors,This,These,unsure,unsure,doctor,doctors,scarcely,scarcely,catches,catch,"['the', 'girls']","['the', 'girls']",0,1025,8
1029,That attractive doctor ever attacks the oncologists nowadays.,Those attractive doctors ever attack the oncologists nowadays.,That doctor,Those doctors,That,Those,attractive,attractive,doctor,doctors,ever,ever,attacks,attack,"['the', 'oncologists']","['the', 'oncologists']",0,1029,8
1030,This authentic senator barely reveals the waiters nowadays.,These authentic senators barely reveal the waiters nowadays.,This senator,These senators,This,These,authentic,authentic,senator,senators,barely,barely,reveals,reveal,"['the', 'waiters']","['the', 'waiters']",0,1030,8
1031,These strange boats sometimes aggravate the lawyer nowadays.,This strange boat sometimes aggravates the lawyer nowadays.,These boats,This boat,These,This,strange,strange,boats,boat,sometimes,sometimes,aggravate,aggravates,"['the', 'lawyer']","['the', 'lawyer']",1,1031,8
1032,These fake universities barely praise the girl nowadays.,This fake university barely praises the girl nowadays.,These universities,This university,These,This,fake,fake,universities,university,barely,barely,praise,praises,"['the', 'girl']","['the', 'girl']",1,1032,8
1036,Those slim senators hardly investigate the students nowadays.,That slim senator hardly investigates the students nowadays.,Those senators,That senator,Those,That,slim,slim,senators,senator,hardly,hardly,investigate,investigates,"['the', 'students']","['the', 'students']",1,1036,8
1039,This determined guest sometimes embarrasses the tutor nowadays.,These determined guests sometimes embarrass the tutor nowadays.,This guest,These guests,This,These,determined,determined,guest,guests,sometimes,sometimes,embarrasses,embarrass,"['the', 'tutor']","['the', 'tutor']",0,1039,8
1040,This clever waitress seldom fixes the bike nowadays.,These clever waitresses seldom fix the bike nowadays.,This waitress,These waitresses,This,These,clever,clever,waitress,waitresses,seldom,seldom,fixes,fix,"['the', 'bike']","['the', 'bike']",0,1040,8
1041,This hard beer often upsets the boy nowadays.,These hard beers often upset the boy nowadays.,This beer,These beers,This,These,hard,hard,beer,beers,often,often,upsets,upset,"['the', 'boy']","['the', 'boy']",0,1041,8
1042,This elderly girl often exposes the check nowadays.,These elderly girls often expose the check nowadays.,This girl,These girls,This,These,elderly,elderly,girl,girls,often,often,exposes,expose,"['the', 'check']","['the', 'check']",0,1042,8
1043,Those young contractors ever hate the tunes nowadays.,That young contractor ever hates the tunes nowadays.,Those contractors,That contractor,Those,That,young,young,contractors,contractor,ever,ever,hate,hates,"['the', 'tunes']","['the', 'tunes']",1,1043,8
1044,This concealed cashier seldom notices the paintings nowadays.,These concealed cashiers seldom notice the paintings nowadays.,This cashier,These cashiers,This,These,concealed,concealed,cashier,cashiers,seldom,seldom,notices,notice,"['the', 'paintings']","['the', 'paintings']",0,1044,8
1045,Those skinny electricians often shoot the man nowadays.,That skinny electrician often shoots the man nowadays.,Those electricians,That electrician,Those,That,skinny,skinny,electricians,electrician,often,often,shoot,shoots,"['the', 'man']","['the', 'man']",1,1045,8
1046,That gray snake scarcely finds the beers nowadays.,Those gray snakes scarcely find the beers nowadays.,That snake,Those snakes,That,Those,gray,gray,snake,snakes,scarcely,scarcely,finds,find,"['the', 'beers']","['the', 'beers']",0,1046,8
1047,These unusual essays sometimes upset the teacher nowadays.,This unusual essay sometimes upsets the teacher nowadays.,These essays,This essay,These,This,unusual,unusual,essays,essay,sometimes,sometimes,upset,upsets,"['the', 'teacher']","['the', 'teacher']",1,1047,8
1048,That bad melody scarcely irritates the doctor nowadays.,Those bad melodies scarcely irritate the doctor nowadays.,That melody,Those melodies,That,Those,bad,bad,melody,melodies,scarcely,scarcely,irritates,irritate,"['the', 'doctor']","['the', 'doctor']",0,1048,8
1050,These careful waiters barely conceal the oncologists nowadays.,This careful waiter barely conceals the oncologists nowadays.,These waiters,This waiter,These,This,careful,careful,waiters,waiter,barely,barely,conceal,conceals,"['the', 'oncologists']","['the', 'oncologists']",1,1050,8
1053,Those hidden customers rarely find the checks nowadays.,That hidden customer rarely finds the checks nowadays.,Those customers,That customer,Those,That,hidden,hidden,customers,customer,rarely,rarely,find,finds,"['the', 'checks']","['the', 'checks']",1,1053,8
1054,Those ordinary plumbers scarcely get the screens nowadays.,That ordinary plumber scarcely gets the screens nowadays.,Those plumbers,That plumber,Those,That,ordinary,ordinary,plumbers,plumber,scarcely,scarcely,get,gets,"['the', 'screens']","['the', 'screens']",1,1054,8
1055,These small candles always alarm the committees nowadays.,This small candle always alarms the committees nowadays.,These candles,This candle,These,This,small,small,candles,candle,always,always,alarm,alarms,"['the', 'committees']","['the', 'committees']",1,1055,8
